sample,MIR4664,MIR5087,MIR573,MIR6828,MIR145,MIR4284,MIR153.1,MIR4768,MIR186,MIR708,MIR4682,MIR26A2,MIR429,MIR8083,MIR641,MIR5695,MIR554,MIR4263,MIR590,MIR647,MIR1270,MIR6081,MIR3149,MIR200B,MIR6772,MIR659,MIR7854,MIR4442,MIR6838,MIR3682,MIR553,MIR4292,MIR1244.3,MIR635,MIR3176,MIR378J,MIR1286,MIR5195,MIR1268B,MIR1244.2,AL513534.1,MIR7856,MIR6740,MIR760,MIR5572,MIR6503,MIR126,MIR6859.4,MIR4324,MIR3186,MIR543,MIR4740,MIR6512,MIR25,MIR570,MIR548H1,MIR1244.4,MIR3646,MIR4635,MIR4653,MIR221,MIR5693,MIR6514,MIR616,AC002059.2,MIR3131,MIR140,MIR6739,MIR4482,MIR4652,MIR3177,MIR4258,MIR4477B,MIR3657,MIR4639,MIR6804,MIR324,MIR5581,MIR5010,MIR320E,MIR23B,MIR7111,MIR4770,MIR8078,MIR3685,MIR106B,MIR95,MIR3939,MIR509.3,MIR3122,MIR4312,MIR645,MIR5690,MIR210,MIR3683,MIR320A,MIR378A,MIR3164,MIR103A2,MIR2355
TCGA-B0-4844-01A-01R-1277-07,0.412371134,0.0,0.021505376,0.0,0.066037736,0.111111111,0.0,0.412844037,0.170454545,0.166666667,0.0,0.090909091,0.016949153,0.078431373,0.0,0.0,0.0,0.264705882,0.06741573,0.075829384,0.165137615,0.0,0.0625,0.0,0.133333333,0.214285714,0.25,0.055555556,0.0,0.076923077,0.0,0.064935065,0.039325843,0.167741935,0.050632911,0.064516129,0.0,0.02173913,0.0,0.14619883,0.115942029,0.176470588,0.0,0.0,0.0,0.214285714,0.017094017,0.083333333,0.259259259,0.117647059,0.0,0.1,0.181818182,0.157303371,0.080378251,0.2,0.171806167,0.075757576,0.035714286,0.081081081,0.007194245,0.0,0.125,0.002898551,0.0,0.058823529,0.100574713,0.272727273,0.024390244,0.0,0.285714286,0.133333333,0.159090909,0.058823529,0.181818182,0.0,0.051282051,0.0,0.02,0.088235294,0.0,0.0,0.0,0.0,0.077419355,0.125,0.0,0.0,0.133333333,0.0,0.153846154,0.114285714,0.053030303,0.066666667,0.0,0.0,0.085714286,0.131578947,0.2,0.0
TCGA-B0-4845-01A-01R-1277-07,0.051546392,0.2,0.129032258,0.0,0.377358491,0.111111111,0.0,0.21559633,0.397727273,0.083333333,0.111111111,0.454545455,0.025423729,0.039215686,0.142857143,0.333333333,0.416666667,0.088235294,0.415730337,0.521327014,0.550458716,0.0,0.4375,0.018518519,0.247619048,0.071428571,0.0,0.0,0.0,0.197802198,0.227272727,0.116883117,0.050561798,0.212903226,0.481012658,0.741935484,0.0,0.304347826,0.133333333,0.096491228,0.434782609,0.117647059,0.285714286,0.0,0.142857143,0.071428571,0.282051282,0.25,0.037037037,0.588235294,0.0,0.366666667,0.181818182,0.651685393,0.737588652,0.0,0.165198238,0.022727273,0.055194805,0.094594595,0.014388489,0.5,0.375,0.017391304,0.333333333,0.0,0.017241379,0.090909091,0.048780488,0.0,0.142857143,0.466666667,0.25,0.235294118,0.636363636,0.0,1.0,0.52173913,0.28,0.382352941,0.0,0.102564103,0.0,0.0,0.232258065,0.125,0.0,0.766666667,0.2,0.4,0.076923077,0.057142857,0.015151515,0.3,0.0,0.0,0.085714286,0.078947368,0.0,0.076923077
TCGA-B0-4846-01A-01R-1277-07,0.144329897,0.066666667,0.258064516,0.0,0.169811321,0.0,0.0,0.013761468,0.238636364,0.166666667,0.444444444,0.090909091,0.033898305,0.0,0.114285714,0.133333333,0.0,0.308823529,0.224719101,0.104265403,0.110091743,0.0,0.0625,0.055555556,0.152380952,0.5,0.0,0.055555556,0.0,0.120879121,0.045454545,0.168831169,0.02247191,0.251612903,0.063291139,0.387096774,0.0,0.065217391,0.066666667,0.084795322,0.188405797,0.176470588,0.0,0.0,0.0,0.357142857,0.102564103,0.0,0.037037037,0.058823529,0.0,0.033333333,0.454545455,0.157303371,0.122931442,0.0,0.057268722,0.0,0.019480519,0.027027027,0.071942446,0.0,0.25,0.002898551,0.5,0.039215686,0.045977011,0.045454545,0.073170732,0.0,0.0,0.266666667,0.045454545,0.0,0.545454545,0.0,0.179487179,0.217391304,0.16,0.088235294,0.010869565,0.128205128,0.0,0.0,0.161290323,0.0625,0.0,0.0,0.066666667,0.0,0.0,0.0,0.015151515,0.038095238,0.0,0.111111111,0.114285714,0.026315789,0.0,0.153846154
TCGA-B0-4847-01A-01R-1277-07,0.041237113,0.333333333,0.075268817,0.5,0.066037736,0.111111111,0.0,0.385321101,0.079545455,0.083333333,0.222222222,0.0,0.014124294,0.0,0.0,0.0,0.25,0.044117647,0.06741573,0.222748815,0.417431193,0.05,0.1875,0.018518519,0.247619048,0.142857143,0.125,0.0,0.0,0.164835165,0.0,0.233766234,0.050561798,0.232258065,0.101265823,0.096774194,0.0,0.0,0.333333333,0.130116959,0.304347826,0.058823529,0.0,0.0,0.0,0.107142857,0.145299145,0.25,0.0,0.352941176,0.0,0.233333333,0.272727273,0.438202247,0.184397163,0.133333333,0.18722467,0.022727273,0.042207792,0.094594595,0.043165468,0.0,0.25,0.020289855,0.0,0.098039216,0.034482759,0.0,0.024390244,0.0,0.571428571,0.333333333,0.318181818,0.0,0.0,0.0,0.179487179,0.043478261,0.38,0.264705882,0.010869565,0.153846154,0.0,0.5,0.206451613,0.125,0.0,0.233333333,0.333333333,0.0,0.0,0.0,0.007575758,0.171428571,0.0,0.0,0.114285714,0.157894737,0.2,0.0
TCGA-B0-4848-01A-01R-1277-07,0.113402062,0.0,0.032258065,0.0,0.0,0.0,0.0,0.02293578,0.022727273,0.0,0.111111111,0.0,0.0,0.0,0.028571429,0.0,0.083333333,0.147058824,0.02247191,0.033175355,0.041284404,0.0,0.1875,0.0,0.00952381,0.428571429,0.0,0.055555556,0.0,0.0,0.045454545,0.0,0.084269663,0.141935484,0.050632911,0.0,0.0,0.043478261,0.0,0.102339181,0.072463768,0.0,0.0,0.0,0.0,0.071428571,0.017094017,0.0,0.037037037,0.058823529,0.0,0.133333333,0.0,0.0,0.007092199,0.0,0.110132159,0.022727273,0.019480519,0.040540541,0.021582734,0.0,0.0,0.002898551,0.333333333,0.0,0.017241379,0.0,0.0,0.0,0.0,0.0,0.090909091,0.0,0.0,0.0,0.0,0.043478261,0.02,0.029411765,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.076923077,0.028571429,0.0,0.038095238,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-B0-4849-01A-01R-1277-07,0.051546392,0.0,0.333333333,0.0,0.179245283,0.0,0.0,0.23853211,0.488636364,0.0,0.0,0.0,0.064971751,0.019607843,0.028571429,0.133333333,0.25,0.088235294,0.224719101,0.265402844,0.146788991,0.0,0.0,0.092592593,0.076190476,0.214285714,0.0,0.0,0.0,0.10989011,0.090909091,0.285714286,0.123595506,0.193548387,0.202531646,0.258064516,0.0,0.065217391,0.2,0.185672515,0.333333333,0.235294118,0.142857143,0.0,0.0,0.285714286,0.111111111,0.0,0.074074074,0.411764706,0.2,0.333333333,0.090909091,0.235955056,0.326241135,0.066666667,0.136563877,0.136363636,0.071428571,0.148648649,0.014388489,0.0,0.125,0.005797101,0.0,0.098039216,0.040229885,0.590909091,0.073170732,0.0,0.285714286,0.0,0.136363636,0.117647059,0.363636364,0.0,0.128205128,0.086956522,0.18,0.323529412,0.02173913,0.051282051,0.0,0.0,0.083870968,0.125,0.0,0.0,0.133333333,0.0,0.153846154,0.142857143,0.053030303,0.133333333,0.0,0.111111111,0.114285714,0.184210526,0.2,0.153846154
TCGA-B0-4852-01A-01R-1503-07,0.195876289,0.133333333,0.397849462,0.0,0.113207547,0.0,0.0,0.229357798,0.465909091,0.166666667,0.333333333,0.272727273,0.028248588,0.117647059,0.114285714,0.8,0.583333333,0.441176471,0.662921348,0.303317536,0.270642202,0.0,0.1875,0.0,0.123809524,0.142857143,0.125,0.0,0.0,0.384615385,0.409090909,0.350649351,0.06741573,0.464516129,0.151898734,0.806451613,0.0,0.086956522,0.133333333,0.203216374,0.52173913,0.411764706,0.142857143,0.0,0.571428571,0.321428571,0.076923077,0.25,0.259259259,0.529411765,0.0,0.1,0.181818182,0.235955056,0.607565012,0.0,0.178414097,0.0,0.058441558,0.148648649,0.079136691,0.5,0.25,0.130434783,0.0,0.0,0.08908046,0.818181818,0.097560976,0.2,0.142857143,0.4,0.409090909,0.235294118,0.545454545,0.166666667,0.307692308,0.347826087,1.0,0.352941176,0.010869565,0.153846154,0.0,0.5,0.348387097,0.0625,0.0,0.366666667,0.2,0.2,0.461538462,0.314285714,0.022727273,0.166666667,0.0,0.222222222,0.114285714,0.315789474,0.2,0.384615385
TCGA-B0-4945-01A-01R-1420-07,0.072164948,0.066666667,0.23655914,0.0,0.075471698,0.0,0.0,0.366972477,0.318181818,0.25,0.111111111,0.545454545,0.005649718,0.039215686,0.142857143,0.0,0.0,0.132352941,0.292134831,0.218009479,0.02293578,0.0,0.3125,0.018518519,0.076190476,0.142857143,0.0,0.111111111,0.0,0.285714286,0.227272727,0.155844156,0.028089888,0.309677419,0.215189873,0.258064516,0.0,0.086956522,0.0,0.043859649,0.289855072,0.294117647,0.0,0.0,0.0,0.107142857,0.162393162,0.166666667,0.148148148,0.235294118,0.0,0.2,0.363636364,0.08988764,0.115839243,0.0,0.04185022,0.022727273,0.035714286,0.027027027,0.057553957,0.5,0.0,0.005797101,0.0,0.039215686,0.040229885,0.090909091,0.097560976,0.0,0.0,0.333333333,0.181818182,0.058823529,0.090909091,0.0,0.051282051,0.217391304,0.14,0.5,0.02173913,0.0,0.0,0.0,0.187096774,0.0,0.333333333,0.066666667,0.333333333,0.0,0.0,0.085714286,0.037878788,0.1,0.0,0.0,0.142857143,0.052631579,0.0,0.0
TCGA-B0-5075-01A-01R-1334-07,0.649484536,0.2,0.35483871,0.0,0.056603774,0.0,0.0,0.165137615,0.227272727,0.0,0.333333333,0.090909091,0.014124294,0.0,0.114285714,0.066666667,0.416666667,0.264705882,0.179775281,0.180094787,0.032110092,0.1,0.375,0.0,0.038095238,0.0,0.125,0.055555556,0.0,0.208791209,0.227272727,0.155844156,0.050561798,0.419354839,0.227848101,0.35483871,0.0,0.043478261,0.0,0.089181287,0.391304348,0.176470588,0.142857143,0.111111111,0.0,0.464285714,0.017094017,0.0,0.074074074,0.176470588,0.2,0.2,0.454545455,0.123595506,0.250591017,0.266666667,0.072687225,0.075757576,0.103896104,0.040540541,0.014388489,0.0,0.125,0.07826087,0.0,0.098039216,0.379310345,0.5,0.048780488,0.0,0.0,0.266666667,0.068181818,0.411764706,0.909090909,0.0,0.230769231,0.260869565,0.36,0.205882353,0.010869565,0.051282051,0.0,0.0,0.103225806,0.3125,0.333333333,0.233333333,0.6,0.0,0.846153846,0.085714286,0.015151515,0.119047619,0.0,0.0,0.285714286,0.131578947,0.2,0.153846154
TCGA-B0-5077-01A-01R-1334-07,0.195876289,0.266666667,0.47311828,0.0,0.150943396,0.0,0.0,0.068807339,0.25,0.0,0.0,0.272727273,0.011299435,0.0,0.2,0.133333333,0.333333333,0.191176471,0.606741573,0.360189573,0.036697248,0.2,0.125,0.0,0.19047619,0.428571429,0.25,0.111111111,0.0,0.10989011,0.363636364,0.376623377,0.123595506,0.232258065,0.291139241,0.516129032,0.0,0.043478261,0.066666667,0.135964912,0.347826087,0.294117647,0.285714286,0.222222222,0.0,0.214285714,0.136752137,0.0,0.148148148,0.352941176,0.0,0.2,0.181818182,0.06741573,0.144208038,0.066666667,0.167400881,0.090909091,0.142857143,0.175675676,0.014388489,0.75,0.0,0.043478261,0.333333333,0.039215686,0.856321839,0.409090909,0.048780488,0.2,0.0,0.066666667,0.068181818,0.352941176,0.636363636,0.166666667,0.205128205,0.173913043,0.32,0.588235294,0.010869565,0.179487179,0.0,0.0,0.15483871,0.0625,0.0,0.166666667,0.2,0.2,0.461538462,0.142857143,0.0,0.223809524,0.0,0.0,0.114285714,0.236842105,0.0,0.307692308
