,MIR635,MIR6784,MIR1244.2,MIR4263,MIR570,MIR4635,MIR589,MIR429,MIR25,MIR6772,MIR3682,MIR4292,MIR4442,MIR3124,MIR4664,MIR1244.3,MIR140,MIR1244.4,MIR4740,MIR221,MIR186,MIR4768,MIR4477B,MIR647,MIR4653,AL513534.1,MIR4538,MIR1249,MIR365A,MIR205,MIR3685,MIR5587,MIR2355,MIR339,MIR590,MIR573,MIR6753,MIR320E,MIR7856,MIR4482,MIR6797,MIR145,MIR7111,MIR6819,MIR645,MIR8055,MIR5009,MIR3153,MIR3972,MIR5685,MIR6746,MIR210,MIR4537,MIR4326,MIR4645,MIR4539,MIR3145,MIR141,MIR3671,MIR103A2,MIR27B,MIR6745,MIR331,MIR342,MIR4530,MIR5572,MIR31,MIR4786,MIR4668,MIR659,MIR3176,MIR200B,MIR200A,MIR559,MIR219A1,MIR1286,MIR4258,MIR649,MIR6510,MIR3164,MIR4489,MIR6739,MIR6859.1,MIR193A,MIR5087,MIR5192,MIR6891,MIR203A,MIR4296,MIR3186,MIR4269,MIR324,MIR5195,MIR936,MIR643,MIR222,MIR548V,MIR1285.1,MIR3679,MIR933
TCGA-KU-A6H8-01A-21R-A34R-07,0.075,0.428571428571429,0.038558786346397,0.0746268656716418,0.184466019417476,0.0,0.0,0.148936170212766,0.0857142857142857,0.08,0.120689655172414,0.0652173913043478,0.0909090909090909,0.0377358490566038,0.0326086956521739,0.0457516339869281,0.0,0.0521628498727735,0.166666666666667,0.242424242424242,0.166666666666667,0.046875,0.0172413793103448,0.375,0.0085470085470085,0.148148148148148,0.0,0.0,0.0,0.212121212121212,0.0483870967741935,0.125,0.25,0.0833333333333333,0.12,0.0909090909090909,0.166666666666667,0.15,0.0909090909090909,0.0058823529411764,0.166666666666667,0.315789473684211,0.259259259259259,0.0714285714285714,0.333333333333333,0.0,0.0,0.0294117647058824,0.0,0.166666666666667,0.0,0.0769230769230769,0.0,0.166666666666667,0.0645161290322581,0.0344827586206897,0.0,0.0769230769230769,0.409090909090909,0.0,0.875,0.0,0.1,0.0909090909090909,0.333333333333333,0.0,0.0,0.142857142857143,0.0,0.0476190476190476,0.0,0.0909090909090909,0.03125,0.0,0.037037037037037,0.0,0.0,0.2,0.189189189189189,0.0595238095238095,0.428571428571429,0.0666666666666667,0.444444444444444,0.0714285714285714,0.0,0.0,0.0,0.0833333333333333,0.333333333333333,0.0909090909090909,1.0,0.583333333333333,0.0196078431372549,0.0,0.0,0.03125,0.0,0.0833333333333333,0.0,0.0
TCGA-CQ-5326-01A-01R-1873-07,0.05,0.428571428571429,0.0670037926675095,0.17910447761194,0.0436893203883495,0.0869565217391304,0.148148148148148,0.0425531914893617,0.0428571428571429,0.08,0.206896551724138,0.0869565217391304,0.227272727272727,0.0377358490566038,0.141304347826087,0.254901960784314,0.0,0.0623409669211196,0.0,0.0303030303030303,0.0666666666666667,0.0,0.0172413793103448,0.0357142857142857,0.0641025641025641,0.148148148148148,0.0,0.0,0.444444444444444,0.0649350649350649,0.0161290322580645,0.0,0.5,0.333333333333333,0.02,0.0909090909090909,0.277777777777778,0.0,0.0909090909090909,0.0029411764705882,0.0,0.0,0.148148148148148,0.0714285714285714,0.0,0.0,0.0,0.0,0.0303030303030303,0.0,0.125,0.0256410256410256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.222222222222222,0.0833333333333333,0.0588235294117647,0.0714285714285714,0.0909090909090909,0.0,0.09375,0.0,0.0,0.0,0.0,0.0,0.1875,0.2,0.0,0.0,0.142857142857143,0.0,0.0,0.0714285714285714,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0204081632653061,0.25,0.03125,0.0,0.0,0.0,0.0
TCGA-DQ-5625-01A-01R-1873-07,0.096875,0.0,0.0771175726927939,0.0895522388059701,0.0242718446601942,0.0,0.037037037037037,0.074468085106383,0.0428571428571429,0.0,0.0344827586206897,0.173913043478261,0.318181818181818,0.0754716981132075,0.326086956521739,0.137254901960784,0.0,0.10559796437659,0.0555555555555556,0.0303030303030303,0.0,0.0,0.0,0.0,0.0427350427350427,0.037037037037037,0.0,0.0,0.0,0.0649350649350649,0.0161290322580645,0.125,0.0,0.416666666666667,0.08,0.0,0.0,0.0,0.0909090909090909,0.0058823529411764,0.0,0.0,0.111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.666666666666667,0.0,0.0256410256410256,0.0,0.0,0.0645161290322581,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0909090909090909,0.0,0.0416666666666667,0.0,0.0,0.0,0.0952380952380952,0.09375,0.0227272727272727,0.015625,0.0,0.037037037037037,0.0,0.0625,0.0,0.0,0.0238095238095238,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0204081632653061,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-CV-5977-01A-11R-1686-07,0.03125,0.428571428571429,0.106194690265487,0.194029850746269,0.0533980582524272,0.0,0.296296296296296,0.138297872340426,0.0285714285714286,0.0,0.172413793103448,0.152173913043478,0.0454545454545455,0.0754716981132075,0.347826086956522,0.196078431372549,0.0,0.137404580152672,0.0555555555555556,0.0,0.1,0.03125,0.0114942528735632,0.25,0.0213675213675214,0.037037037037037,0.0,0.0,0.0,0.138528138528139,0.0645161290322581,0.0625,0.0,0.166666666666667,0.0,0.0454545454545455,0.0,0.0,0.181818181818182,0.0323529411764706,0.0555555555555556,0.0526315789473684,0.148148148148148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.205128205128205,0.0,0.333333333333333,0.0,0.0,0.25,0.0769230769230769,0.0,0.0833333333333333,0.0375,0.0,0.0,0.0,0.0,0.0416666666666667,0.0,0.0,0.0,0.19047619047619,0.09375,0.0454545454545455,0.0625,0.0,0.0740740740740741,0.0,0.0,0.0,0.0,0.0119047619047619,0.0,0.0,0.0,0.642857142857143,0.142857142857143,0.0,0.0,0.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0204081632653061,0.25,0.0,0.0,0.0,0.0,0.0
TCGA-UF-A7JD-01A-11R-A34R-07,0.06875,0.142857142857143,0.0347661188369153,0.0746268656716418,0.0436893203883495,0.0434782608695652,0.0740740740740741,0.0638297872340425,0.0571428571428571,0.28,0.0689655172413793,0.228260869565217,0.181818181818182,0.0188679245283019,0.16304347826087,0.0588235294117647,0.222222222222222,0.0623409669211196,0.277777777777778,0.121212121212121,0.1,0.015625,0.0344827586206897,0.142857142857143,0.0341880341880342,0.037037037037037,0.0555555555555556,0.125,0.0,0.038961038961039,0.112903225806452,0.0,0.0,0.166666666666667,0.04,0.0909090909090909,0.277777777777778,0.2,0.181818181818182,0.0088235294117647,0.0555555555555556,0.368421052631579,0.222222222222222,0.214285714285714,0.0,0.111111111111111,0.0,0.0588235294117647,0.0,0.0,0.875,0.128205128205128,0.04,0.0,0.032258064516129,0.0344827586206897,0.0,0.0,0.0,0.25,0.0625,0.25,0.1,0.181818181818182,0.0,0.0,0.0,0.214285714285714,0.0,0.19047619047619,0.0,0.0454545454545455,0.046875,0.12,0.0,0.0,0.25,0.0,0.0,0.0119047619047619,0.142857142857143,0.0666666666666667,0.0,0.0,0.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666666667,0.0,0.0,0.0,0.0,0.0,0.166666666666667,0.25,0.0
TCGA-CR-7385-01A-11R-2016-07,0.025,0.0,0.0979772439949431,0.149253731343284,0.199029126213592,0.108695652173913,0.0740740740740741,0.148936170212766,0.107142857142857,0.04,0.362068965517241,0.0543478260869565,0.0909090909090909,0.0566037735849057,0.0978260869565217,0.183006535947712,0.0,0.123409669211196,0.0,0.0909090909090909,0.133333333333333,0.015625,0.028735632183908,0.0892857142857143,0.0128205128205128,0.0185185185185185,0.277777777777778,0.0625,0.0,0.0216450216450216,0.032258064516129,0.25,0.0,0.0833333333333333,0.08,0.0909090909090909,0.0,0.05,0.363636363636364,0.0,0.111111111111111,0.0,0.0740740740740741,0.0714285714285714,0.166666666666667,0.0,0.0,0.0294117647058824,0.0,0.0,0.0,0.0256410256410256,0.12,0.166666666666667,0.032258064516129,0.0344827586206897,0.0,0.0,0.0454545454545455,0.0,0.0125,0.0,0.0,0.0,0.222222222222222,0.0833333333333333,0.0,0.0,0.0,0.0476190476190476,0.25,0.0454545454545455,0.0625,0.04,0.0740740740740741,0.0,0.0625,0.0,0.027027027027027,0.0,0.285714285714286,0.133333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333333,0.0,0.0,0.0,0.0392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-CQ-7071-01A-12R-A30B-07,0.040625,0.142857142857143,0.0594184576485461,0.0597014925373134,0.0339805825242718,0.0217391304347826,0.037037037037037,0.0106382978723404,0.0071428571428571,0.2,0.103448275862069,0.0543478260869565,0.0454545454545455,0.0,0.0652173913043478,0.183006535947712,0.0,0.0966921119592875,0.0555555555555556,0.0,0.0,0.015625,0.0057471264367816,0.0178571428571429,0.0555555555555556,0.0,0.0,0.0625,0.111111111111111,0.0086580086580086,0.0161290322580645,0.0625,0.5,0.166666666666667,0.02,0.0909090909090909,0.0555555555555556,0.15,0.0909090909090909,0.0294117647058824,0.0,0.0526315789473684,0.037037037037037,0.0,0.0,0.333333333333333,0.0,0.117647058823529,0.0,0.0,0.0,0.128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666666667,0.0125,0.0,0.1,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.015625,0.0,0.0,0.0,0.1875,0.0,0.0,0.0119047619047619,0.142857142857143,0.0666666666666667,0.111111111111111,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666666667,0.0,0.0204081632653061,0.0,0.0,0.25,0.0,0.0,0.0
TCGA-CR-7367-01A-11R-2016-07,0.15,0.285714285714286,0.0493046776232617,0.17910447761194,0.0776699029126214,0.478260869565217,0.62962962962963,0.170212765957447,0.0714285714285714,0.48,0.189655172413793,0.217391304347826,0.681818181818182,0.0943396226415094,0.358695652173913,0.0849673202614379,0.0,0.0547073791348601,0.277777777777778,0.121212121212121,0.433333333333333,0.03125,0.028735632183908,0.5,0.170940170940171,0.111111111111111,0.0555555555555556,0.375,0.222222222222222,0.220779220779221,0.129032258064516,0.5625,0.0,0.0833333333333333,0.18,0.227272727272727,0.166666666666667,0.05,0.272727272727273,0.0147058823529412,0.277777777777778,0.157894736842105,0.185185185185185,0.0,0.0,0.111111111111111,0.0,0.0294117647058824,0.0303030303030303,0.333333333333333,0.0,0.666666666666667,0.12,0.166666666666667,0.32258064516129,0.310344827586207,0.125,0.0769230769230769,0.0,0.333333333333333,0.125,0.0,0.1,0.0909090909090909,0.0,0.0,0.352941176470588,0.214285714285714,0.272727272727273,0.0,0.78125,0.204545454545455,0.046875,0.0,0.111111111111111,0.0,0.1875,0.0,0.0,0.0595238095238095,0.0,0.0666666666666667,0.111111111111111,0.142857142857143,0.285714285714286,0.5,0.0,0.166666666666667,0.0,0.363636363636364,0.0,0.333333333333333,0.0588235294117647,0.0204081632653061,0.0,0.0,0.25,0.166666666666667,0.25,0.0
TCGA-CV-A465-01A-11R-A266-07,0.121875,0.428571428571429,0.0701643489254109,0.238805970149254,0.0825242718446602,0.0,0.037037037037037,0.0957446808510638,0.0714285714285714,0.64,0.396551724137931,0.119565217391304,0.0454545454545455,0.0188679245283019,0.25,0.065359477124183,0.111111111111111,0.0292620865139949,0.222222222222222,0.0,0.2,0.015625,0.0344827586206897,0.392857142857143,0.0769230769230769,0.0925925925925926,0.0555555555555556,0.0,0.0,0.0562770562770563,0.274193548387097,0.0,0.0,0.5,0.2,0.0454545454545455,0.0,0.1,0.181818181818182,0.0088235294117647,0.0,0.0526315789473684,0.0,0.285714285714286,0.0,0.0,0.0,0.0588235294117647,0.0,0.166666666666667,0.0,0.102564102564103,0.04,0.5,0.032258064516129,0.0,0.125,0.0,0.0,0.166666666666667,0.0125,0.0,0.3,0.0,0.0,0.0833333333333333,0.0588235294117647,0.0714285714285714,0.454545454545455,0.0476190476190476,0.125,0.0227272727272727,0.0,0.04,0.111111111111111,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.142857142857143,0.0,0.0,0.0,0.25,0.0,0.181818181818182,0.0,0.0,0.0,0.0612244897959184,0.0,0.0,0.5,0.25,0.0,0.0
TCGA-CN-6016-01A-11R-1686-07,0.1125,0.285714285714286,0.0107458912768647,0.104477611940299,0.029126213592233,0.239130434782609,0.296296296296296,0.0425531914893617,0.0071428571428571,0.24,0.0862068965517241,0.0434782608695652,0.136363636363636,0.0943396226415094,0.108695652173913,0.0522875816993464,0.0,0.0076335877862595,0.222222222222222,0.0,0.0333333333333333,0.015625,0.0229885057471264,0.0357142857142857,0.0170940170940171,0.0555555555555556,0.0,0.0625,0.0,0.0173160173160173,0.0,0.0,0.0,0.166666666666667,0.04,0.0454545454545455,0.0,0.05,0.0,0.0117647058823529,0.0,0.0,0.037037037037037,0.0,0.0,0.0,0.0,0.0,0.0303030303030303,0.0,0.25,0.0,0.0,0.0,0.032258064516129,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0416666666666667,0.0,0.0714285714285714,0.0,0.0,0.0625,0.0227272727272727,0.0,0.04,0.0,0.0,0.0,0.4,0.027027027027027,0.0119047619047619,0.142857142857143,0.0,0.0,0.0,0.285714285714286,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0816326530612245,0.0,0.03125,0.0,0.0,0.0,0.0
